EmployeeID,Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,Region,EducationLevel,EducationField,MonthlyIncome,PercentSalaryHike,StockOptionLevel,YearsAtCompany,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,BusinessTravel,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,StandardHours,EmployeeCount,Over18,Attrition
EMP1382,18,18-30,Male,Divorced,Research & Development,Laboratory Technician,East,4,Human Resources,7303,14,3,5,0,2,5,Non-Travel,17,Yes,4,3,3,3,2,4,80,1,Y,No
EMP1383,36,31-45,Male,Single,Research & Development,Manufacturing Director,West,2,Marketing,6236,20,2,10,3,2,1,Travel_Frequently,15,Yes,3,3,2,3,4,3,80,1,Y,No
EMP1384,33,31-45,Male,Divorced,Human Resources,Human Resources,South,3,Medical,7418,20,2,0,3,5,2,Travel_Rarely,1,No,4,3,4,2,3,3,80,1,Y,No
EMP1385,52,46+,Female,Single,Research & Development,Healthcare Representative,North,5,Marketing,11010,17,0,19,7,1,1,Travel_Rarely,7,No,1,2,3,3,3,3,80,1,Y,No
EMP1386,43,31-45,Male,Single,Research & Development,Healthcare Representative,North,2,Human Resources,7942,18,3,0,2,7,5,Travel_Frequently,9,No,4,2,3,3,2,3,80,1,Y,Yes
EMP1387,24,18-30,Female,Married,Sales,Sales Representative,West,5,Marketing,7001,22,1,7,3,3,3,Non-Travel,1,No,2,3,3,2,4,4,80,1,Y,No
EMP1388,50,46+,Male,Single,Sales,Sales Representative,East,2,Technical Degree,5429,18,2,1,17,3,0,Travel_Frequently,29,No,2,2,1,3,3,3,80,1,Y,Yes
EMP1389,49,46+,Female,Married,Research & Development,Healthcare Representative,West,3,Marketing,7907,13,1,14,3,1,3,Non-Travel,4,No,2,2,4,2,3,4,80,1,Y,No
EMP1390,42,31-45,Female,Divorced,Research & Development,Manufacturing Director,North,3,Life Sciences,9372,23,0,5,3,6,2,Travel_Rarely,6,Yes,2,1,3,4,2,4,80,1,Y,No
EMP1391,32,31-45,Female,Single,Human Resources,Manager,South,5,Technical Degree,6420,15,2,0,17,3,5,Non-Travel,1,No,2,2,4,2,3,3,80,1,Y,No
EMP1392,27,18-30,Male,Single,Research & Development,Healthcare Representative,North,2,Life Sciences,6568,20,1,6,17,1,2,Travel_Rarely,8,No,4,3,3,3,3,3,80,1,Y,No
EMP1393,33,31-45,Female,Married,Research & Development,Research Scientist,West,3,Human Resources,6609,25,3,0,2,1,3,Travel_Frequently,14,No,4,3,2,3,3,3,80,1,Y,No
EMP1394,47,46+,Female,Divorced,Research & Development,Laboratory Technician,East,5,Medical,9836,18,0,10,4,2,3,Travel_Frequently,7,Yes,1,1,2,2,4,3,80,1,Y,Yes
EMP1395,55,46+,Female,Divorced,Research & Development,Laboratory Technician,West,3,Medical,9872,17,3,7,2,5,0,Travel_Rarely,13,No,1,2,4,3,3,3,80,1,Y,No
EMP1396,48,46+,Male,Single,Human Resources,Human Resources,North,3,Medical,8344,24,0,1,5,8,4,Travel_Rarely,11,No,4,3,4,3,3,3,80,1,Y,Yes
EMP1397,32,31-45,Female,Divorced,Research & Development,Healthcare Representative,East,2,Life Sciences,5792,19,0,3,11,4,1,Travel_Frequently,2,No,2,2,3,2,3,3,80,1,Y,No
EMP1398,25,18-30,Male,Single,Research & Development,Healthcare Representative,East,3,Life Sciences,7128,23,1,0,1,3,3,Travel_Rarely,5,No,1,3,2,1,3,3,80,1,Y,No
EMP1399,38,31-45,Male,Married,Research & Development,Laboratory Technician,South,1,Other,9131,20,1,8,6,1,3,Travel_Rarely,1,No,3,3,4,3,2,3,80,1,Y,No
EMP1400,19,18-30,Female,Single,Research & Development,Laboratory Technician,West,1,Other,6618,17,1,2,4,4,3,Travel_Rarely,1,No,3,3,4,2,2,3,80,1,Y,No
EMP1401,36,31-45,Male,Married,Sales,Manager,West,3,Life Sciences,7291,12,1,5,1,9,1,Travel_Frequently,1,No,2,3,4,3,1,3,80,1,Y,No
EMP1402,33,31-45,Male,Married,Human Resources,Manager,West,3,Other,4322,14,0,21,6,2,5,Travel_Rarely,25,No,4,3,1,4,1,3,80,1,Y,Yes
EMP1403,32,31-45,Male,Married,Research & Development,Laboratory Technician,East,5,Technical Degree,8060,22,1,2,2,1,2,Travel_Rarely,29,No,3,3,1,1,3,3,80,1,Y,No
EMP1404,21,18-30,Female,Divorced,Research & Development,Research Scientist,South,4,Medical,9055,24,0,32,0,1,3,Travel_Frequently,1,No,1,1,2,3,3,3,80,1,Y,No
EMP1405,42,31-45,Male,Married,Research & Development,Manufacturing Director,South,3,Life Sciences,9942,22,1,7,17,1,3,Non-Travel,3,No,4,1,1,3,3,3,80,1,Y,Yes
EMP1406,30,18-30,Male,Single,Human Resources,Manager,West,4,Human Resources,7353,18,0,1,2,3,4,Travel_Rarely,1,No,3,1,4,3,3,3,80,1,Y,Yes
EMP1407,25,18-30,Male,Married,Research & Development,Manufacturing Director,North,3,Medical,6136,19,0,4,3,8,3,Travel_Rarely,16,No,2,3,3,2,3,3,80,1,Y,No
EMP1408,18,18-30,Female,Single,Sales,Manager,East,2,Technical Degree,5402,17,3,9,6,1,2,Travel_Frequently,6,No,2,2,4,3,3,3,80,1,Y,No
EMP1409,34,31-45,Male,Married,Human Resources,Manager,East,4,Technical Degree,8048,15,0,4,12,2,4,Travel_Rarely,8,No,1,2,2,1,4,3,80,1,Y,No
EMP1410,49,46+,Female,Married,Sales,Manager,East,2,Technical Degree,8948,11,1,0,8,3,1,Travel_Rarely,6,No,3,3,3,1,3,3,80,1,Y,No
EMP1411,53,46+,Male,Single,Research & Development,Research Scientist,West,3,Marketing,9615,25,0,1,2,7,0,Travel_Rarely,11,No,1,4,3,3,3,3,80,1,Y,No
EMP1412,30,18-30,Female,Single,Human Resources,Human Resources,South,4,Life Sciences,7826,19,0,10,3,2,4,Travel_Rarely,3,No,3,2,2,2,3,3,80,1,Y,No
EMP1413,29,18-30,Female,Divorced,Human Resources,Human Resources,South,3,Life Sciences,6249,22,1,7,1,1,2,Travel_Frequently,1,Yes,1,3,3,1,2,3,80,1,Y,No
EMP1414,41,31-45,Male,Married,Research & Development,Healthcare Representative,North,4,Life Sciences,8556,16,0,5,2,1,1,Travel_Frequently,1,No,3,2,3,2,3,3,80,1,Y,No
EMP1415,27,18-30,Male,Divorced,Research & Development,Manufacturing Director,South,2,Life Sciences,6209,12,1,1,11,2,2,Non-Travel,5,No,4,4,4,2,4,3,80,1,Y,No
EMP1416,40,31-45,Female,Married,Research & Development,Manufacturing Director,North,3,Medical,8709,21,2,12,5,5,1,Travel_Rarely,21,No,3,2,1,1,2,3,80,1,Y,Yes
EMP1417,40,31-45,Male,Divorced,Sales,Sales Executive,South,1,Marketing,7900,20,1,22,0,1,0,Travel_Rarely,3,No,3,3,4,2,3,3,80,1,Y,No
EMP1418,49,46+,Male,Married,Research & Development,Manufacturing Director,West,3,Technical Degree,9770,20,2,0,0,3,1,Travel_Rarely,1,Yes,4,2,4,2,2,3,80,1,Y,No
EMP1419,35,31-45,Female,Married,Research & Development,Manufacturing Director,West,4,Life Sciences,6738,12,1,0,10,3,3,Travel_Frequently,23,No,3,3,4,4,4,3,80,1,Y,No
EMP1420,34,31-45,Female,Single,Research & Development,Healthcare Representative,North,3,Medical,6322,20,1,15,7,2,3,Travel_Rarely,1,No,2,2,4,1,3,3,80,1,Y,No
EMP1421,28,18-30,Male,Single,Research & Development,Manufacturing Director,South,2,Life Sciences,8164,11,0,11,2,1,3,Travel_Rarely,1,No,3,2,2,4,3,4,80,1,Y,No
EMP1422,28,18-30,Male,Divorced,Research & Development,Laboratory Technician,West,1,Life Sciences,6651,22,1,6,3,7,1,Travel_Rarely,19,No,4,2,3,3,3,3,80,1,Y,No
EMP1423,31,31-45,Male,Married,Sales,Sales Executive,North,1,Life Sciences,6238,14,1,20,1,3,3,Travel_Rarely,10,No,1,2,3,3,3,3,80,1,Y,Yes
EMP1424,40,31-45,Male,Divorced,Research & Development,Manufacturing Director,North,3,Marketing,8431,20,0,7,6,4,2,Travel_Rarely,4,No,2,3,3,1,3,3,80,1,Y,No
EMP1425,42,31-45,Female,Single,Sales,Sales Executive,North,4,Life Sciences,10161,21,0,1,3,4,2,Travel_Rarely,12,No,3,3,3,4,3,4,80,1,Y,No
EMP1426,28,18-30,Female,Married,Research & Development,Research Scientist,East,2,Marketing,6304,23,0,9,4,9,4,Travel_Rarely,12,Yes,3,3,4,4,3,3,80,1,Y,Yes
EMP1427,51,46+,Female,Single,Research & Development,Research Scientist,North,4,Life Sciences,10819,12,0,7,1,2,2,Travel_Rarely,1,Yes,4,4,3,1,3,4,80,1,Y,No
EMP1428,32,31-45,Male,Single,Human Resources,Human Resources,West,4,Technical Degree,7240,20,0,29,2,2,3,Travel_Rarely,10,No,2,3,4,2,3,3,80,1,Y,No
EMP1429,36,31-45,Male,Divorced,Research & Development,Manufacturing Director,South,3,Technical Degree,5959,21,1,1,0,2,5,Travel_Frequently,9,Yes,1,4,3,3,3,3,80,1,Y,No
EMP1430,27,18-30,Male,Married,Sales,Sales Executive,South,3,Human Resources,5470,19,0,6,11,2,2,Travel_Rarely,29,Yes,4,2,4,4,3,3,80,1,Y,No
EMP1431,18,18-30,Male,Divorced,Sales,Sales Representative,North,4,Human Resources,5411,12,1,10,11,1,2,Travel_Frequently,29,Yes,1,3,4,3,3,3,80,1,Y,Yes
EMP1432,45,31-45,Female,Married,Research & Development,Research Scientist,South,2,Human Resources,9511,21,1,2,6,9,2,Travel_Rarely,4,No,1,1,3,3,4,4,80,1,Y,No
EMP1433,44,31-45,Male,Divorced,Research & Development,Laboratory Technician,East,2,Technical Degree,9592,19,0,3,10,6,2,Travel_Rarely,8,No,3,3,1,2,3,3,80,1,Y,No
EMP1434,31,31-45,Female,Married,Sales,Sales Executive,East,1,Marketing,6404,11,0,15,4,2,3,Travel_Rarely,1,No,4,3,1,3,2,3,80,1,Y,No
EMP1435,34,31-45,Female,Married,Sales,Sales Executive,East,5,Life Sciences,7192,24,0,3,1,2,3,Travel_Rarely,1,Yes,4,3,3,2,3,3,80,1,Y,No
EMP1436,42,31-45,Female,Single,Research & Development,Research Scientist,East,4,Life Sciences,7666,17,1,6,5,1,1,Travel_Rarely,5,No,4,3,4,3,3,3,80,1,Y,No
EMP1437,19,18-30,Female,Divorced,Sales,Manager,West,4,Life Sciences,7585,25,1,15,1,6,0,Travel_Rarely,10,No,1,3,3,1,3,3,80,1,Y,No
EMP1438,31,31-45,Female,Divorced,Research & Development,Laboratory Technician,West,1,Medical,5138,16,0,1,2,2,6,Travel_Rarely,7,Yes,2,4,2,1,3,3,80,1,Y,No
EMP1439,44,31-45,Male,Married,Research & Development,Healthcare Representative,East,3,Medical,8395,16,0,28,1,3,2,Travel_Frequently,5,No,2,4,2,3,3,3,80,1,Y,No
EMP1440,22,18-30,Male,Married,Sales,Sales Representative,North,1,Technical Degree,8097,12,0,8,2,7,1,Travel_Rarely,15,No,4,4,3,3,1,3,80,1,Y,No
EMP1441,36,31-45,Male,Married,Sales,Sales Executive,North,1,Human Resources,5756,25,1,4,4,2,2,Travel_Rarely,14,No,3,4,3,2,2,3,80,1,Y,No
EMP1442,22,18-30,Male,Married,Human Resources,Human Resources,North,3,Life Sciences,4233,11,0,3,0,5,3,Travel_Rarely,11,No,1,3,4,4,2,3,80,1,Y,No
EMP1443,41,31-45,Female,Divorced,Research & Development,Manufacturing Director,East,5,Medical,6961,20,1,21,0,2,1,Travel_Rarely,1,No,4,4,3,2,3,3,80,1,Y,No
EMP1444,36,31-45,Female,Single,Research & Development,Laboratory Technician,South,4,Other,11164,18,1,1,4,4,0,Travel_Rarely,14,Yes,2,3,2,3,2,3,80,1,Y,No
EMP1445,20,18-30,Male,Married,Research & Development,Manufacturing Director,South,3,Life Sciences,7018,18,0,2,6,2,3,Travel_Frequently,22,No,3,3,3,4,2,3,80,1,Y,No
EMP1446,45,31-45,Male,Married,Human Resources,Manager,West,1,Technical Degree,5757,12,1,2,3,2,3,Travel_Rarely,1,No,4,3,4,4,2,3,80,1,Y,No
EMP1447,28,18-30,Male,Married,Human Resources,Manager,West,2,Life Sciences,5613,14,0,2,0,9,2,Travel_Frequently,4,No,2,3,3,4,4,4,80,1,Y,Yes
EMP1448,28,18-30,Female,Divorced,Research & Development,Healthcare Representative,West,3,Marketing,6444,23,0,4,2,3,0,Travel_Rarely,29,No,2,3,2,1,3,3,80,1,Y,No
EMP1449,39,31-45,Female,Married,Research & Development,Laboratory Technician,South,4,Life Sciences,6283,23,0,31,5,2,2,Travel_Rarely,8,No,2,3,2,2,3,3,80,1,Y,No
EMP1450,44,31-45,Female,Single,Sales,Manager,East,4,Human Resources,9165,14,0,15,4,1,2,Travel_Rarely,6,No,2,1,4,3,4,3,80,1,Y,No
EMP1451,26,18-30,Male,Divorced,Research & Development,Laboratory Technician,South,3,Medical,7120,25,0,2,0,0,2,Travel_Rarely,1,Yes,1,3,1,2,2,3,80,1,Y,No
EMP1452,37,31-45,Male,Married,Research & Development,Laboratory Technician,North,3,Life Sciences,8805,12,1,3,13,4,2,Travel_Frequently,7,No,3,4,2,1,3,3,80,1,Y,No
EMP1453,41,31-45,Female,Married,Research & Development,Research Scientist,North,1,Life Sciences,7487,21,2,7,1,2,1,Travel_Frequently,5,No,2,3,1,3,2,3,80,1,Y,No
EMP1454,41,31-45,Female,Single,Human Resources,Manager,South,2,Medical,7037,19,1,0,0,6,2,Travel_Rarely,1,No,4,2,4,3,3,3,80,1,Y,No
EMP1455,35,31-45,Male,Single,Sales,Sales Representative,South,3,Other,4418,22,0,12,2,2,5,Travel_Frequently,5,No,2,2,1,3,2,3,80,1,Y,Yes
EMP1456,33,31-45,Female,Single,Research & Development,Research Scientist,West,1,Marketing,7929,24,3,14,1,2,2,Non-Travel,1,Yes,2,3,4,2,1,3,80,1,Y,No
EMP1457,26,18-30,Male,Married,Sales,Sales Executive,North,3,Medical,5074,14,0,13,16,5,2,Travel_Rarely,11,No,2,2,3,1,3,3,80,1,Y,No
EMP1458,37,31-45,Female,Married,Research & Development,Manufacturing Director,East,4,Life Sciences,7361,14,0,3,0,3,2,Travel_Frequently,29,No,4,3,3,2,4,3,80,1,Y,No
EMP1459,24,18-30,Female,Married,Sales,Sales Representative,East,3,Medical,5586,25,0,4,1,7,2,Travel_Rarely,5,Yes,3,4,4,3,2,3,80,1,Y,Yes
EMP1460,18,18-30,Female,Single,Sales,Manager,South,1,Marketing,2469,25,1,0,1,3,4,Non-Travel,9,No,4,3,3,2,3,4,80,1,Y,No
EMP1461,37,31-45,Male,Single,Sales,Manager,South,2,Marketing,6160,14,0,3,2,1,2,Travel_Rarely,5,No,4,3,3,4,3,3,80,1,Y,No
EMP1462,46,46+,Male,Single,Research & Development,Research Scientist,South,3,Life Sciences,7897,15,1,4,0,3,3,Travel_Rarely,1,No,4,4,2,1,3,3,80,1,Y,No
EMP1463,18,18-30,Female,Married,Research & Development,Healthcare Representative,East,3,Marketing,5986,20,0,16,0,0,1,Travel_Rarely,29,No,4,3,3,4,3,3,80,1,Y,No
EMP1464,26,18-30,Female,Single,Research & Development,Manufacturing Director,South,3,Medical,5038,22,1,15,1,2,4,Travel_Rarely,1,No,1,2,4,3,3,3,80,1,Y,No
EMP1465,40,31-45,Male,Divorced,Human Resources,Manager,North,3,Human Resources,8313,22,1,23,3,1,1,Travel_Rarely,1,No,4,3,4,2,3,3,80,1,Y,No
EMP1466,57,46+,Female,Single,Research & Development,Laboratory Technician,North,3,Human Resources,10037,18,1,15,5,4,0,Non-Travel,5,No,4,3,3,2,3,4,80,1,Y,No
EMP1467,34,31-45,Male,Married,Sales,Sales Executive,East,4,Marketing,6383,14,2,0,4,1,1,Travel_Rarely,9,No,4,3,4,2,2,4,80,1,Y,No
EMP1468,28,18-30,Female,Married,Human Resources,Manager,West,3,Marketing,5542,13,1,7,3,1,1,Travel_Frequently,3,No,1,4,4,3,3,3,80,1,Y,No
EMP1469,32,31-45,Female,Single,Sales,Sales Representative,South,4,Life Sciences,8265,21,0,0,2,2,2,Travel_Rarely,1,Yes,3,2,4,3,4,4,80,1,Y,No
EMP1470,47,46+,Male,Divorced,Human Resources,Human Resources,East,3,Technical Degree,7451,11,1,2,8,0,2,Travel_Rarely,15,Yes,1,2,3,3,3,3,80,1,Y,No
EMP1471,28,18-30,Male,Divorced,Sales,Sales Representative,East,1,Medical,4251,12,0,6,2,0,3,Travel_Rarely,4,No,2,1,3,3,4,3,80,1,Y,No
EMP1472,27,18-30,Male,Single,Human Resources,Human Resources,West,3,Life Sciences,6059,14,3,8,1,2,0,Travel_Rarely,1,Yes,4,3,4,3,3,3,80,1,Y,Yes
EMP1473,29,18-30,Male,Married,Sales,Sales Representative,West,3,Life Sciences,5314,19,1,7,3,1,2,Non-Travel,4,No,4,3,3,3,3,3,80,1,Y,No
EMP1474,26,18-30,Male,Married,Human Resources,Human Resources,East,4,Technical Degree,5630,25,0,0,4,1,2,Travel_Rarely,2,No,3,3,4,2,3,3,80,1,Y,No
EMP1475,38,31-45,Female,Divorced,Research & Development,Manufacturing Director,East,4,Life Sciences,8379,24,1,0,2,1,3,Non-Travel,6,No,4,3,1,4,3,4,80,1,Y,Yes
EMP1476,49,46+,Female,Married,Human Resources,Manager,West,4,Medical,9586,11,0,0,0,6,0,Travel_Rarely,9,Yes,1,4,2,4,3,3,80,1,Y,Yes
EMP1477,36,31-45,Male,Single,Sales,Sales Executive,South,4,Medical,10007,16,0,0,0,4,0,Travel_Rarely,14,Yes,1,3,2,4,2,3,80,1,Y,Yes
EMP1478,34,31-45,Male,Married,Research & Development,Laboratory Technician,South,3,Life Sciences,9355,16,1,1,7,3,2,Travel_Rarely,2,Yes,3,2,2,2,3,3,80,1,Y,No
EMP1479,32,31-45,Male,Married,Human Resources,Manager,North,3,Life Sciences,6473,20,0,8,0,7,3,Travel_Rarely,1,No,2,3,4,4,2,3,80,1,Y,Yes
EMP1480,21,18-30,Male,Divorced,Research & Development,Laboratory Technician,West,3,Technical Degree,9388,13,2,12,3,0,3,Travel_Rarely,1,No,4,3,2,4,3,4,80,1,Y,No
EMP1481,45,31-45,Male,Divorced,Research & Development,Healthcare Representative,West,5,Technical Degree,10069,20,0,3,0,2,0,Non-Travel,2,Yes,2,2,3,3,4,3,80,1,Y,No
EMP1482,36,31-45,Female,Single,Research & Development,Research Scientist,North,4,Life Sciences,7104,19,2,8,1,6,1,Travel_Rarely,1,No,3,3,1,3,4,3,80,1,Y,No
EMP1483,35,31-45,Female,Divorced,Research & Development,Manufacturing Director,East,1,Technical Degree,7113,24,1,1,1,3,1,Travel_Rarely,3,No,3,2,1,4,3,4,80,1,Y,No
EMP1484,65,46+,Male,Divorced,Research & Development,Manufacturing Director,South,4,Marketing,9811,20,2,25,0,9,2,Travel_Rarely,1,No,2,2,2,4,3,3,80,1,Y,No
EMP1485,39,31-45,Female,Divorced,Research & Development,Manufacturing Director,North,2,Medical,6222,13,0,3,0,8,2,Non-Travel,7,Yes,4,3,4,3,3,3,80,1,Y,No
EMP1486,28,18-30,Female,Married,Human Resources,Human Resources,West,3,Marketing,4830,11,0,13,4,1,1,Travel_Rarely,4,No,3,3,4,3,3,3,80,1,Y,No
EMP1487,30,18-30,Male,Married,Sales,Manager,North,2,Other,6123,12,1,20,2,9,2,Travel_Rarely,1,No,3,3,3,4,3,3,80,1,Y,No
EMP1488,44,31-45,Female,Single,Sales,Sales Executive,North,3,Medical,8725,25,1,14,6,8,2,Travel_Rarely,4,No,4,3,4,1,3,3,80,1,Y,No
EMP1489,36,31-45,Female,Divorced,Human Resources,Manager,East,4,Life Sciences,8561,25,0,0,0,2,2,Non-Travel,2,Yes,2,1,4,2,4,3,80,1,Y,No
EMP1490,22,18-30,Male,Married,Human Resources,Manager,East,2,Human Resources,3866,14,1,7,8,9,1,Travel_Rarely,10,Yes,4,3,3,4,3,3,80,1,Y,Yes
EMP1491,46,46+,Male,Single,Research & Development,Laboratory Technician,North,1,Medical,7516,14,3,0,17,0,2,Travel_Rarely,4,No,1,3,2,4,2,3,80,1,Y,No
EMP1492,30,18-30,Female,Married,Research & Development,Manufacturing Director,East,2,Life Sciences,7583,12,1,0,0,4,2,Travel_Rarely,1,Yes,1,3,2,4,3,3,80,1,Y,No
EMP1493,50,46+,Female,Married,Sales,Sales Executive,East,3,Medical,8482,20,1,0,13,1,4,Travel_Rarely,3,No,4,4,1,3,3,3,80,1,Y,Yes
EMP1494,43,31-45,Male,Married,Sales,Sales Representative,North,3,Medical,8573,16,1,17,1,1,3,Travel_Rarely,2,No,4,3,2,3,1,3,80,1,Y,No
EMP1495,32,31-45,Male,Married,Research & Development,Research Scientist,North,2,Technical Degree,6638,25,0,16,4,3,1,Travel_Rarely,14,No,2,3,2,4,4,4,80,1,Y,No
EMP1496,49,46+,Male,Married,Research & Development,Healthcare Representative,East,2,Medical,10047,16,3,1,1,2,1,Travel_Rarely,29,No,3,3,1,2,4,3,80,1,Y,No
EMP1497,37,31-45,Female,Single,Research & Development,Healthcare Representative,South,3,Life Sciences,7954,13,1,5,2,4,2,Travel_Frequently,1,No,4,3,4,4,4,3,80,1,Y,No
EMP1498,41,31-45,Male,Single,Sales,Sales Executive,West,2,Medical,8089,11,0,21,2,3,2,Travel_Frequently,10,No,2,3,4,3,4,3,80,1,Y,No
EMP1499,39,31-45,Female,Married,Human Resources,Manager,West,4,Medical,7063,20,0,4,1,2,4,Travel_Frequently,2,No,1,2,2,2,4,3,80,1,Y,No
EMP1500,27,18-30,Male,Single,Human Resources,Manager,West,1,Life Sciences,5430,19,0,3,5,1,2,Travel_Rarely,1,No,3,3,4,1,4,3,80,1,Y,No
EMP1501,30,18-30,Male,Married,Research & Development,Research Scientist,North,3,Medical,5484,14,1,4,3,3,4,Travel_Rarely,1,No,1,1,4,3,3,4,80,1,Y,No
EMP1502,47,46+,Male,Single,Research & Development,Laboratory Technician,West,2,Technical Degree,7355,19,1,10,2,6,2,Travel_Frequently,19,No,1,4,2,3,2,3,80,1,Y,Yes
EMP1503,33,31-45,Male,Divorced,Research & Development,Healthcare Representative,South,3,Life Sciences,7391,15,2,4,16,3,4,Travel_Rarely,3,No,4,3,3,2,2,3,80,1,Y,No
EMP1504,32,31-45,Male,Married,Research & Development,Laboratory Technician,South,2,Medical,7280,17,2,10,11,3,3,Travel_Rarely,29,No,1,3,2,3,1,3,80,1,Y,No
EMP1505,27,18-30,Male,Married,Research & Development,Laboratory Technician,North,4,Life Sciences,10777,13,0,3,12,3,3,Travel_Rarely,5,Yes,4,2,1,3,3,3,80,1,Y,No
EMP1506,37,31-45,Male,Single,Sales,Sales Executive,North,5,Life Sciences,7601,25,1,2,8,2,2,Travel_Frequently,1,No,3,3,3,4,3,3,80,1,Y,No
EMP1507,53,46+,Male,Single,Human Resources,Manager,East,4,Life Sciences,6988,13,1,2,1,2,4,Travel_Frequently,13,Yes,3,4,3,1,3,3,80,1,Y,No
EMP1508,26,18-30,Male,Married,Research & Development,Research Scientist,South,3,Life Sciences,9122,18,0,0,1,9,2,Travel_Rarely,23,No,3,3,1,3,3,3,80,1,Y,Yes
EMP1509,35,31-45,Male,Married,Human Resources,Manager,North,3,Technical Degree,8094,11,1,4,1,5,4,Travel_Frequently,15,No,3,2,3,1,2,3,80,1,Y,No
EMP1510,51,46+,Female,Single,Research & Development,Laboratory Technician,East,4,Life Sciences,8092,18,0,1,17,2,3,Travel_Rarely,12,Yes,1,3,4,1,1,3,80,1,Y,No
EMP1511,36,31-45,Female,Single,Research & Development,Laboratory Technician,North,3,Marketing,8438,18,0,11,0,2,2,Travel_Rarely,3,Yes,1,3,4,2,3,3,80,1,Y,No
EMP1512,41,31-45,Female,Divorced,Research & Development,Manufacturing Director,East,2,Life Sciences,8882,13,0,3,1,3,6,Travel_Frequently,1,No,4,3,4,3,2,4,80,1,Y,No
EMP1513,25,18-30,Male,Single,Human Resources,Manager,South,4,Human Resources,6596,11,1,10,0,4,4,Travel_Frequently,2,No,2,3,4,1,2,3,80,1,Y,No
EMP1514,41,31-45,Male,Single,Research & Development,Healthcare Representative,West,3,Medical,8670,19,1,21,1,2,3,Travel_Rarely,5,No,1,3,4,1,3,4,80,1,Y,No
EMP1515,32,31-45,Male,Single,Sales,Manager,West,2,Marketing,5701,14,1,13,1,4,2,Travel_Frequently,28,No,4,3,1,1,3,3,80,1,Y,No
EMP1516,42,31-45,Male,Married,Sales,Manager,South,2,Life Sciences,7864,17,1,21,4,2,5,Travel_Rarely,11,No,4,2,4,4,2,3,80,1,Y,No
EMP1517,48,46+,Female,Married,Research & Development,Research Scientist,South,2,Medical,7850,19,0,5,0,2,3,Travel_Rarely,15,Yes,2,3,4,4,3,3,80,1,Y,No
EMP1518,62,46+,Male,Married,Research & Development,Research Scientist,South,3,Life Sciences,6785,13,0,1,3,6,3,Travel_Frequently,2,No,1,2,2,1,3,3,80,1,Y,No
EMP1519,40,31-45,Male,Single,Human Resources,Manager,West,2,Human Resources,7035,15,0,19,6,2,4,Travel_Frequently,10,No,4,2,3,2,2,3,80,1,Y,No
EMP1520,36,31-45,Male,Married,Sales,Sales Representative,South,2,Medical,4768,20,0,14,5,8,1,Travel_Rarely,17,No,4,3,3,4,3,3,80,1,Y,No
EMP1521,38,31-45,Female,Married,Research & Development,Laboratory Technician,North,2,Medical,8856,21,2,13,0,1,1,Travel_Rarely,5,Yes,1,1,1,1,3,4,80,1,Y,No
EMP1522,33,31-45,Female,Married,Research & Development,Laboratory Technician,North,3,Marketing,6283,23,1,8,9,1,2,Travel_Rarely,5,No,1,3,2,1,1,3,80,1,Y,No
EMP1523,38,31-45,Male,Single,Human Resources,Human Resources,South,4,Life Sciences,4496,13,0,6,5,2,0,Travel_Frequently,11,No,4,3,1,1,4,3,80,1,Y,No
EMP1524,34,31-45,Male,Single,Research & Development,Healthcare Representative,South,3,Marketing,5596,15,0,0,0,5,3,Travel_Rarely,7,No,4,3,4,4,3,3,80,1,Y,No
EMP1525,38,31-45,Female,Divorced,Research & Development,Laboratory Technician,West,1,Medical,7190,21,1,9,5,5,2,Travel_Frequently,29,No,4,3,1,4,3,4,80,1,Y,No
EMP1526,50,46+,Female,Married,Research & Development,Healthcare Representative,North,2,Marketing,8823,12,1,0,5,1,1,Travel_Rarely,4,Yes,2,3,2,2,4,3,80,1,Y,No
EMP1527,26,18-30,Male,Divorced,Research & Development,Laboratory Technician,South,4,Medical,5784,14,1,2,2,1,2,Travel_Rarely,1,No,3,2,1,1,4,4,80,1,Y,No
EMP1528,44,31-45,Male,Married,Sales,Manager,West,3,Life Sciences,6533,22,0,5,0,3,2,Travel_Frequently,5,Yes,3,3,4,4,2,3,80,1,Y,No
EMP1529,45,31-45,Female,Divorced,Sales,Sales Representative,West,3,Life Sciences,7890,12,1,4,3,1,1,Travel_Rarely,2,No,1,4,4,3,3,3,80,1,Y,No
EMP1530,35,31-45,Female,Divorced,Research & Development,Laboratory Technician,South,1,Technical Degree,8166,13,0,0,5,2,0,Travel_Rarely,7,Yes,2,1,3,3,3,4,80,1,Y,No
EMP1531,18,18-30,Male,Single,Research & Development,Laboratory Technician,South,4,Medical,5387,25,1,12,1,3,2,Travel_Rarely,1,No,2,3,1,2,1,3,80,1,Y,No
EMP1532,29,18-30,Male,Married,Human Resources,Human Resources,South,3,Medical,6775,15,0,14,4,3,3,Travel_Rarely,26,Yes,3,3,3,4,3,4,80,1,Y,No
EMP1533,46,46+,Female,Married,Human Resources,Human Resources,West,2,Human Resources,5193,19,0,8,1,1,4,Travel_Rarely,17,No,3,2,4,2,2,3,80,1,Y,Yes
